download_day,total_downloads
2020-07-12,17
2020-07-13,91
2020-07-14,115
2020-07-15,124
2020-07-16,133
2020-07-17,94
2020-07-18,32
2020-07-19,33
2020-07-20,111
2020-07-21,123
2020-07-22,163
2020-07-23,80
2020-07-24,113
2020-07-25,37
2020-07-26,51
2020-07-27,104
2020-07-28,108
2020-07-29,118
2020-07-30,133
2020-07-31,164
2020-08-01,76
2020-08-02,111
2020-08-03,169
2020-08-04,143
2020-08-05,156
2020-08-06,78
2020-08-07,147
2020-08-08,64
2020-08-09,89
2020-08-10,92
2020-08-11,114
2020-08-12,136
2020-08-13,153
2020-08-14,141
2020-08-15,138
2020-08-16,77
2020-08-17,88
2020-08-18,76
2020-08-19,64
2020-08-20,108
2020-08-21,75
2020-08-22,29
2020-08-23,83
2020-08-24,115
2020-08-25,163
2020-08-26,169
2020-08-27,88
2020-08-28,153
2020-08-29,78
2020-08-30,80
2020-08-31,175
2020-09-01,190
2020-09-02,97
2020-09-03,146
2020-09-04,142
2020-09-05,68
2020-09-06,70
2020-09-07,114
2020-09-08,165
2020-09-09,181
2020-09-10,160
2020-09-11,114
2020-09-12,68
2020-09-13,115
2020-09-14,152
2020-09-15,183
2020-09-16,129
2020-09-17,129
2020-09-18,132
2020-09-19,103
2020-09-20,55
2020-09-21,102
2020-09-22,101
2020-09-23,147
2020-09-24,205
2020-09-25,93
2020-09-26,65
2020-09-27,65
2020-09-28,125
2020-09-29,116
2020-09-30,69
2020-10-01,121
2020-10-02,135
2020-10-03,44
2020-10-04,49
2020-10-05,91
2020-10-06,124
2020-10-07,230
2020-10-08,244
2020-10-09,91
2020-10-10,38
2020-10-11,79
2020-10-12,103
2020-10-13,113
2020-10-14,351
2020-10-15,239
2020-10-16,90
2020-10-17,100
2020-10-18,61
2020-10-19,113
2020-10-20,180
2020-10-21,112
2020-10-22,110
2020-10-23,61
2020-10-24,54
2020-10-25,60
2020-10-26,106
2020-10-27,115
2020-10-28,81
2020-10-29,150
2020-10-30,175
2020-10-31,21
2020-11-01,82
2020-11-02,145
2020-11-03,102
2020-11-04,90
2020-11-05,122
2020-11-06,195
2020-11-07,144
2020-11-08,117
2020-11-09,97
2020-11-10,150
2020-11-11,121
2020-11-12,111
2020-11-13,223
2020-11-14,80
2020-11-15,57
2020-11-16,245
2020-11-17,225
2020-11-18,365
2020-11-19,668
2020-11-20,435
2020-11-21,96
2020-11-22,33
2020-11-23,379
2020-11-24,348
2020-11-25,523
2020-11-26,445
2020-11-27,649
2020-11-28,190
2020-11-29,53
2020-11-30,471
2020-12-01,293
2020-12-02,176
2020-12-03,274
2020-12-04,125
2020-12-05,156
2020-12-06,50
2020-12-07,274
2020-12-08,413
2020-12-09,173
2020-12-10,113
2020-12-11,146
2020-12-12,125
2020-12-13,65
2020-12-14,441
2020-12-15,173
2020-12-16,152
2020-12-17,264
2020-12-18,169
2020-12-19,49
2020-12-20,58
2020-12-21,283
2020-12-22,115
2020-12-23,149
2020-12-24,126
2020-12-25,30
2020-12-26,78
2020-12-27,35
2020-12-28,178
2020-12-29,40
2020-12-30,65
2020-12-31,113
2021-01-01,53
2021-01-02,48
2021-01-03,42
2021-01-04,211
2021-01-05,153
2021-01-06,108
2021-01-07,85
2021-01-08,88
2021-01-09,60
2021-01-10,143
2021-01-11,147
2021-01-12,109
2021-01-13,146
2021-01-14,97
2021-01-15,89
2021-01-16,121
2021-01-17,136
2021-01-18,169
2021-01-19,230
2021-01-20,151
2021-01-21,142
2021-01-22,148
2021-01-23,321
2021-01-24,263
2021-01-25,595
2021-01-26,451
2021-01-27,960
2021-01-28,427
2021-01-29,116
2021-01-30,393
2021-01-31,352
2021-02-01,144
2021-02-02,718
2021-02-03,812
2021-02-04,845
2021-02-05,967
2021-02-06,242
2021-02-07,90
2021-02-08,250
2021-02-09,90
2021-02-10,146
2021-02-11,110
2021-02-12,110
2021-02-13,85
2021-02-14,104
2021-02-15,154
2021-02-16,166
2021-02-17,204
2021-02-18,300
2021-02-19,278
2021-02-20,190
2021-02-21,80
2021-02-22,188
2021-02-23,173
2021-02-24,116
2021-02-25,140
2021-02-26,427
2021-02-27,87
2021-02-28,69
2021-03-01,199
2021-03-02,222
2021-03-03,92
2021-03-04,596
2021-03-05,108
2021-03-06,98
2021-03-07,66
2021-03-08,604
2021-03-09,496
2021-03-10,208
2021-03-11,144
2021-03-12,193
2021-03-13,98
2021-03-14,79
2021-03-15,219
2021-03-16,147
2021-03-17,150
2021-03-18,346
2021-03-19,204
2021-03-20,89
2021-03-21,87
2021-03-22,117
2021-03-23,206
2021-03-24,151
2021-03-25,283
2021-03-26,515
2021-03-27,146
2021-03-28,209
2021-03-29,188
2021-03-30,137
2021-03-31,236
2021-04-01,356
2021-04-02,164
2021-04-03,174
2021-04-04,80
2021-04-05,146
2021-04-06,145
2021-04-07,187
2021-04-08,151
2021-04-09,224
2021-04-10,90
2021-04-11,70
2021-04-12,190
2021-04-13,290
2021-04-14,176
2021-04-15,172
2021-04-16,338
2021-04-17,89
2021-04-18,85
2021-04-19,126
2021-04-20,220
2021-04-21,364
2021-04-22,163
2021-04-23,324
2021-04-24,138
2021-04-25,102
2021-04-26,262
2021-04-27,2089
2021-04-28,327
2021-04-29,225
2021-04-30,234
2021-05-01,69
2021-05-02,41
2021-05-03,161
2021-05-04,230
2021-05-05,128
2021-05-06,382
2021-05-07,186
2021-05-08,123
2021-05-09,71
2021-05-10,506
2021-05-11,400
2021-05-12,580
2021-05-13,115
2021-05-14,274
2021-05-15,84
2021-05-16,74
2021-05-17,238
2021-05-18,138
2021-05-19,165
2021-05-20,302
2021-05-21,381
2021-05-22,45
2021-05-23,35
2021-05-24,154
2021-05-25,169
2021-05-26,130
2021-05-27,146
2021-05-28,158
2021-05-29,50
2021-05-30,53
2021-05-31,82
2021-06-01,887
2021-06-02,233
2021-06-03,175
2021-06-04,198
2021-06-05,86
2021-06-06,141
2021-06-07,368
2021-06-08,106
2021-06-09,320
2021-06-10,171
2021-06-11,145
2021-06-12,84
2021-06-13,39
2021-06-14,148
2021-06-15,176
2021-06-16,149
2021-06-17,154
2021-06-18,125
2021-06-19,91
2021-06-20,94
2021-06-21,238
2021-06-22,145
2021-06-23,212
2021-06-24,134
2021-06-25,133
2021-06-26,64
2021-06-27,54
2021-06-28,156
2021-06-29,347
2021-06-30,225
2021-07-01,255
2021-07-02,281
2021-07-03,84
2021-07-04,55
2021-07-05,288
2021-07-06,245
2021-07-07,215
2021-07-08,204
2021-07-09,221
2021-07-10,108
2021-07-11,263
2021-07-12,179
2021-07-13,151
2021-07-14,204
2021-07-15,178
2021-07-16,100
2021-07-17,58
2021-07-18,97
2021-07-19,134
2021-07-20,245
2021-07-21,177
2021-07-22,181
2021-07-23,214
2021-07-24,33
2021-07-25,121
2021-07-26,257
2021-07-27,247
2021-07-28,112
2021-07-29,142
2021-07-30,310
2021-07-31,82
2021-08-01,52
2021-08-02,161
2021-08-03,195
2021-08-04,201
2021-08-05,221
2021-08-06,145
2021-08-07,64
2021-08-08,78
2021-08-09,289
2021-08-10,163
2021-08-11,168
2021-08-12,155
2021-08-13,125
2021-08-14,97
2021-08-15,27
2021-08-16,111
2021-08-17,322
2021-08-18,126
2021-08-19,106
2021-08-20,179
2021-08-21,68
2021-08-22,74
2021-08-23,170
2021-08-24,187
2021-08-25,166
2021-08-26,255
2021-08-27,326
2021-08-28,95
2021-08-29,89
2021-08-30,449
2021-08-31,249
2021-09-01,264
2021-09-02,328
2021-09-03,211
2021-09-04,255
2021-09-05,61
2021-09-06,174
2021-09-07,130
2021-09-08,112
2021-09-09,147
2021-09-10,167
2021-09-11,56
2021-09-12,80
2021-09-13,414
2021-09-14,146
2021-09-15,127
2021-09-16,153
2021-09-17,385
2021-09-18,82
2021-09-19,32
2021-09-20,132
2021-09-21,266
2021-09-22,294
2021-09-23,150
2021-09-24,416
2021-09-25,192
2021-09-26,357
2021-09-27,211
2021-09-28,195
2021-09-29,283
2021-09-30,223
2021-10-01,166
2021-10-02,110
2021-10-03,58
2021-10-04,147
2021-10-05,251
2021-10-06,237
2021-10-07,173
2021-10-08,117
2021-10-09,91
2021-10-10,508
2021-10-11,705
2021-10-12,965
2021-10-13,152
2021-10-14,1447
2021-10-15,228
2021-10-16,90
2021-10-17,91
2021-10-18,213
2021-10-19,327
2021-10-20,306
2021-10-21,166
2021-10-22,258
2021-10-23,65
2021-10-24,154
2021-10-25,259
2021-10-26,149
2021-10-27,191
2021-10-28,276
2021-10-29,222
2021-10-30,195
2021-10-31,39
2021-11-01,222
2021-11-02,221
2021-11-03,205
2021-11-04,210
2021-11-05,690
2021-11-06,649
2021-11-07,52
2021-11-08,216
2021-11-09,237
2021-11-10,248
2021-11-11,505
2021-11-12,1996
2021-11-13,192
2021-11-14,34
2021-11-15,321
2021-11-16,303
2021-11-17,214
2021-11-18,205
2021-11-19,514
2021-11-20,219
2021-11-21,58
2021-11-22,357
2021-11-23,497
2021-11-24,649
2021-11-25,174
2021-11-26,125
2021-11-27,128
2021-11-28,92
2021-11-29,302
2021-11-30,217
2021-12-01,376
2021-12-02,452
2021-12-03,858
2021-12-04,179
2021-12-05,115
2021-12-06,148
2021-12-07,743
2021-12-08,476
2021-12-09,531
2021-12-10,476
2021-12-11,98
2021-12-12,54
2021-12-13,208
2021-12-14,218
2021-12-15,323
2021-12-16,247
2021-12-17,221
2021-12-18,128
2021-12-19,35
2021-12-20,246
2021-12-21,196
2021-12-22,185
2021-12-23,190
2021-12-24,152
2021-12-25,93
2021-12-26,38
2021-12-27,78
2021-12-28,143
2021-12-29,66
2021-12-30,57
2021-12-31,347
2022-01-01,65
2022-01-02,70
2022-01-03,166
2022-01-04,272
2022-01-05,239
2022-01-06,299
2022-01-07,243
2022-01-08,72
2022-01-09,117
2022-01-10,212
2022-01-11,266
2022-01-12,363
2022-01-13,206
2022-01-14,277
2022-01-15,73
2022-01-16,53
2022-01-17,187
2022-01-18,188
2022-01-19,221
2022-01-20,264
2022-01-21,133
2022-01-22,97
2022-01-23,65
2022-01-24,257
2022-01-25,174
2022-01-26,279
2022-01-27,126
2022-01-28,263
2022-01-29,281
2022-01-30,113
2022-01-31,245
2022-02-01,167
2022-02-02,418
2022-02-03,288
2022-02-04,379
2022-02-05,148
2022-02-06,194
2022-02-07,236
2022-02-08,334
2022-02-09,289
2022-02-10,302
2022-02-11,163
2022-02-12,69
2022-02-13,81
2022-02-14,476
2022-02-15,212
2022-02-16,560
2022-02-17,371
2022-02-18,1008
2022-02-19,50
2022-02-20,75
2022-02-21,250
2022-02-22,426
2022-02-23,269
2022-02-24,210
2022-02-25,117
2022-02-26,140
2022-02-27,88
2022-02-28,218
2022-03-01,228
2022-03-02,176
2022-03-03,250
2022-03-04,377
2022-03-05,325
2022-03-06,208
2022-03-07,228
2022-03-08,226
2022-03-09,347
2022-03-10,271
2022-03-11,332
2022-03-12,105
2022-03-13,156
2022-03-14,292
2022-03-15,293
2022-03-16,421
2022-03-17,325
2022-03-18,305
2022-03-19,56
2022-03-20,50
2022-03-21,312
2022-03-22,557
2022-03-23,790
2022-03-24,721
2022-03-25,406
2022-03-26,159
2022-03-27,101
2022-03-28,315
2022-03-29,213
2022-03-30,300
2022-03-31,304
2022-04-01,896
2022-04-02,77
2022-04-03,105
2022-04-04,295
2022-04-05,341
2022-04-06,421
2022-04-07,360
2022-04-08,367
2022-04-09,111
2022-04-10,85
2022-04-11,234
2022-04-12,316
2022-04-13,186
2022-04-14,160
2022-04-15,179
2022-04-16,84
2022-04-17,36
2022-04-18,199
2022-04-19,239
2022-04-20,252
2022-04-21,281
2022-04-22,305
2022-04-23,27
2022-04-24,105
2022-04-25,378
2022-04-26,417
2022-04-27,488
2022-04-28,781
2022-04-29,349
2022-04-30,52
2022-05-01,29
2022-05-02,170
2022-05-03,261
2022-05-04,233
2022-05-05,322
2022-05-06,256
2022-05-07,176
2022-05-08,88
2022-05-09,222
2022-05-10,169
2022-05-11,171
2022-05-12,241
2022-05-13,488
2022-05-14,736
2022-05-15,703
2022-05-16,2143
2022-05-17,4305
2022-05-18,3804
2022-05-19,3178
2022-05-20,3126
2022-05-21,2023
2022-05-22,3981
2022-05-23,5101
2022-05-24,5011
2022-05-25,4500
2022-05-26,4384
2022-05-27,3339
2022-05-28,4103
2022-05-29,3271
2022-05-30,3183
2022-05-31,1219
2022-06-01,427
2022-06-02,911
2022-06-03,4704
2022-06-04,1051
2022-06-05,81
2022-06-06,325
2022-06-07,1626
2022-06-08,5386
2022-06-09,5366
2022-06-10,4325
2022-06-11,3871
2022-06-12,2117
2022-06-13,3403
2022-06-14,4935
2022-06-15,4761
2022-06-16,5552
2022-06-17,4269
2022-06-18,6954
2022-06-19,5600
2022-06-20,4680
2022-06-21,6569
2022-06-22,5823
2022-06-23,6764
2022-06-24,3916
2022-06-25,7108
2022-06-26,1804
2022-06-27,4474
2022-06-28,4611
2022-06-29,1917
2022-06-30,2999
2022-07-01,1713
2022-07-02,130
2022-07-03,107
2022-07-04,242
2022-07-05,1581
2022-07-06,4788
2022-07-07,2458
2022-07-08,1364
2022-07-09,1363
2022-07-10,2214
2022-07-11,2046
2022-07-12,1896
2022-07-13,2176
2022-07-14,2609
2022-07-15,2906
2022-07-16,1226
2022-07-17,120
2022-07-18,297
2022-07-19,335
2022-07-20,465
2022-07-21,505
2022-07-22,351
2022-07-23,398
2022-07-24,649
2022-07-25,536
2022-07-26,641
2022-07-27,1239
2022-07-28,748
2022-07-29,2483
2022-07-30,1675
2022-07-31,616
2022-08-01,1544
2022-08-02,3748
2022-08-03,2675
2022-08-04,2592
2022-08-05,3781
2022-08-06,4455
2022-08-07,3577
2022-08-08,1569
2022-08-09,4559
2022-08-10,2907
2022-08-11,2830
2022-08-12,4164
2022-08-13,2758
2022-08-14,3743
2022-08-15,1508
2022-08-16,4340
2022-08-17,2964
2022-08-18,2841
2022-08-19,2197
2022-08-20,918
2022-08-21,2842
2022-08-22,2980
2022-08-23,1820
2022-08-24,3543
2022-08-25,4373
2022-08-26,1032
2022-08-27,113
2022-08-28,197
2022-08-29,422
2022-08-30,704
2022-08-31,364
2022-09-01,450
2022-09-02,274
2022-09-03,74
2022-09-04,170
2022-09-05,241
2022-09-06,384
2022-09-07,364
2022-09-08,411
2022-09-09,514
2022-09-10,220
2022-09-11,383
2022-09-12,424
2022-09-13,566
2022-09-14,352
2022-09-15,2067
2022-09-16,338
2022-09-17,72
2022-09-18,228
2022-09-19,534
2022-09-20,644
2022-09-21,414
2022-09-22,519
2022-09-23,756
2022-09-24,119
2022-09-25,302
2022-09-26,686
2022-09-27,330
2022-09-28,270
2022-09-29,516
2022-09-30,233
2022-10-01,79
2022-10-02,225
2022-10-03,368
2022-10-04,583
2022-10-05,208
2022-10-06,288
2022-10-07,299
2022-10-08,82
2022-10-09,138
2022-10-10,1097
2022-10-11,523
2022-10-12,549
2022-10-13,1057
2022-10-14,4857
2022-10-15,1968
2022-10-16,339
2022-10-17,674
2022-10-18,1283
2022-10-19,823
2022-10-20,312
2022-10-21,271
2022-10-22,1249
2022-10-23,255
2022-10-24,11194
2022-10-25,254
2022-10-26,617
2022-10-27,405
2022-10-28,347
2022-10-29,57
2022-10-30,197
2022-10-31,1376
2022-11-01,585
2022-11-02,282
2022-11-03,887
2022-11-04,323
2022-11-05,88
2022-11-06,798
2022-11-07,297
2022-11-08,384
2022-11-09,223
2022-11-10,1357
2022-11-11,217
2022-11-12,151
2022-11-13,148
2022-11-14,281
2022-11-15,591
2022-11-16,211
2022-11-17,366
2022-11-18,334
2022-11-19,185
2022-11-20,179
2022-11-21,433
2022-11-22,737
2022-11-23,580
2022-11-24,205
2022-11-25,172
2022-11-26,192
2022-11-27,212
2022-11-28,247
2022-11-29,267
2022-11-30,575
2022-12-01,329
2022-12-02,229
2022-12-03,79
2022-12-04,133
2022-12-05,265
2022-12-06,239
2022-12-07,242
2022-12-08,490
2022-12-09,511
2022-12-10,228
2022-12-11,239
2022-12-12,4033
2022-12-13,411
2022-12-14,6110
2022-12-15,607
2022-12-16,224
2022-12-17,88
2022-12-18,181
2022-12-19,255
2022-12-20,784
2022-12-21,232
2022-12-22,164
2022-12-23,16198
2022-12-24,43
2022-12-25,130
2022-12-26,1890
2022-12-27,5963
2022-12-28,7155
2022-12-29,191
2022-12-30,1426
2022-12-31,30
2023-01-01,137
2023-01-02,1424
2023-01-03,120
2023-01-04,4077
2023-01-05,786
2023-01-06,1621
2023-01-07,656
2023-01-08,557
2023-01-09,4950
2023-01-10,3754
2023-01-11,2235
2023-01-12,219
2023-01-13,1845
2023-01-14,2968
2023-01-15,137
2023-01-16,197
2023-01-17,929
2023-01-18,5891
2023-01-19,2255
2023-01-20,3811
2023-01-21,157
2023-01-22,211
2023-01-23,276
2023-01-24,380
2023-01-25,242
2023-01-26,223
2023-01-27,226
2023-01-28,54
2023-01-29,73
2023-01-30,256
2023-01-31,208
2023-02-01,292
2023-02-02,286
2023-02-03,416
2023-02-04,310
2023-02-05,445
2023-02-06,217
2023-02-07,7517
2023-02-08,348
2023-02-09,245
2023-02-10,244
2023-02-11,175
2023-02-12,132
2023-02-13,291
2023-02-14,502
2023-02-15,480
2023-02-16,425
2023-02-17,282
2023-02-18,127
2023-02-19,176
2023-02-20,763
2023-02-21,632
2023-02-22,350
2023-02-23,382
2023-02-24,8479
2023-02-25,3954
2023-02-26,158
2023-02-27,242
2023-02-28,273
2023-03-01,227
2023-03-02,282
2023-03-03,407
2023-03-04,104
2023-03-05,221
2023-03-06,375
2023-03-07,404
2023-03-08,1030
2023-03-09,723
2023-03-10,467
2023-03-11,157
2023-03-12,1144
2023-03-13,673
2023-03-14,412
2023-03-15,351
2023-03-16,331
2023-03-17,525
2023-03-18,129
2023-03-19,439
2023-03-20,539
2023-03-21,389
2023-03-22,484
2023-03-23,573
2023-03-24,434
2023-03-25,519
2023-03-26,348
2023-03-27,1171
2023-03-28,1359
2023-03-29,2538
2023-03-30,4936
2023-03-31,1928
2023-04-01,1151
2023-04-02,2070
2023-04-03,713
2023-04-04,1673
2023-04-05,1881
2023-04-06,857
2023-04-07,423
2023-04-08,333
2023-04-09,693
2023-04-10,879
2023-04-11,1534
2023-04-12,953
2023-04-13,661
2023-04-14,1779
2023-04-15,11265
2023-04-16,9103
2023-04-17,2039
2023-04-18,281
2023-04-19,632
2023-04-20,622
2023-04-21,302
2023-04-22,76
2023-04-23,153
2023-04-24,338
2023-04-25,397
2023-04-26,422
2023-04-27,581
2023-04-28,249
2023-04-29,118
2023-04-30,123
2023-05-01,430
2023-05-02,323
2023-05-03,244
2023-05-04,261
2023-05-05,295
2023-05-06,455
2023-05-07,122
2023-05-08,235
2023-05-09,10650
2023-05-10,3305
2023-05-11,787
2023-05-12,220
2023-05-13,113
2023-05-14,140
2023-05-15,371
2023-05-16,2816
2023-05-17,1502
2023-05-18,3776
2023-05-19,3611
2023-05-20,7836
2023-05-21,337
2023-05-22,4695
2023-05-23,486
2023-05-24,852
2023-05-25,5841
2023-05-26,9665
2023-05-27,1201
2023-05-28,136
2023-05-29,976
2023-05-30,669
2023-05-31,7232
2023-06-01,21957
2023-06-02,259
2023-06-03,105
2023-06-04,122
2023-06-05,433
2023-06-06,1094
2023-06-07,470
2023-06-08,2023
2023-06-09,1847
2023-06-10,1798
2023-06-11,5894
2023-06-12,1616
2023-06-13,542
2023-06-14,7333
2023-06-15,649
2023-06-16,257
2023-06-17,2413
2023-06-18,139
2023-06-19,213
2023-06-20,263
2023-06-21,262
2023-06-22,221
2023-06-23,403
2023-06-24,3147
2023-06-25,11822
2023-06-26,5026
2023-06-27,10554
2023-06-28,908
2023-06-29,13630
2023-06-30,12106
2023-07-01,4225
2023-07-02,152
2023-07-03,308
2023-07-04,2465
2023-07-05,525
2023-07-06,935
2023-07-07,1122
2023-07-08,3939
2023-07-09,119
2023-07-10,583
2023-07-11,641
2023-07-12,2094
2023-07-13,591
2023-07-14,965
2023-07-15,1349
2023-07-16,1103
2023-07-17,853
2023-07-18,998
2023-07-19,458
2023-07-20,229
2023-07-21,179
2023-07-22,66
2023-07-23,126
2023-07-24,223
2023-07-25,227
2023-07-26,248
2023-07-27,272
2023-07-28,260
2023-07-29,111
2023-07-30,117
2023-07-31,172
2023-08-01,5066
2023-08-02,2137
2023-08-03,243
2023-08-04,3259
2023-08-05,254
2023-08-06,197
2023-08-07,310
2023-08-08,2270
2023-08-09,1567
2023-08-10,355
2023-08-11,325
2023-08-12,117
2023-08-13,166
2023-08-14,323
2023-08-15,372
2023-08-16,320
2023-08-17,287
2023-08-18,193
2023-08-19,101
2023-08-20,101
2023-08-21,235
2023-08-22,357
2023-08-23,284
2023-08-24,360
2023-08-25,246
2023-08-26,96
2023-08-27,216
2023-08-28,268
2023-08-29,243
2023-08-30,276
2023-08-31,209
2023-09-01,229
2023-09-02,88
2023-09-03,107
2023-09-04,157
2023-09-05,238
2023-09-06,354
2023-09-07,331
2023-09-08,319
2023-09-09,70
2023-09-10,122
2023-09-11,317
2023-09-12,238
2023-09-13,299
2023-09-14,234
2023-09-15,301
2023-09-16,93
2023-09-17,60
2023-09-18,158
2023-09-19,216
2023-09-20,296
2023-09-21,380
2023-09-22,434
2023-09-23,132
2023-09-24,192
2023-09-25,360
2023-09-26,418
2023-09-27,288
2023-09-28,246
2023-09-29,325
2023-09-30,139
2023-10-01,133
2023-10-02,311
2023-10-03,365
2023-10-04,424
2023-10-05,436
2023-10-06,290
2023-10-07,94
2023-10-08,308
2023-10-09,397
2023-10-10,460
2023-10-11,312
2023-10-12,461
2023-10-13,492
2023-10-14,107
2023-10-15,171
2023-10-16,391
2023-10-17,877
2023-10-18,407
2023-10-19,889
2023-10-20,1073
2023-10-21,195
2023-10-22,175
2023-10-23,728
2023-10-24,839
2023-10-25,689
2023-10-26,578
2023-10-27,598
2023-10-28,197
2023-10-29,158
2023-10-30,1642
2023-10-31,2337
2023-11-01,727
2023-11-02,530
2023-11-03,881
2023-11-04,107
2023-11-05,113
2023-11-06,362
2023-11-07,343
2023-11-08,438
2023-11-09,279
2023-11-10,269
2023-11-11,177
2023-11-12,117
2023-11-13,1277
2023-11-14,453
2023-11-15,569
2023-11-16,358
2023-11-17,1091
2023-11-18,171
2023-11-19,158
2023-11-20,584
2023-11-21,316
2023-11-22,354
2023-11-23,300
